Rank,Company Name,Revenue,Profit,Assets,Market Value
1,JPMorganChase,$252.9 B,$50 B,"$4,090.7 B",$588.1 B
2,Berkshire Hathaway,$369 B,$73.4 B,"$1,070 B",$899.1 B
3,Saudi Arabian Oil Company (Saudi Aramco),$489.1 B,$116.9 B,$661.5 B,"$1,919.3 B"
4,ICBC,$223.8 B,$50.4 B,"$6,586 B",$215.2 B
5,Bank of America,$183.3 B,$25 B,"$3,273.8 B",$307.3 B
6,Amazon,$590.7 B,$37.7 B,$531 B,"$1,922.1 B"
7,China Construction Bank,$199.8 B,$47 B,"$5,403.8 B",$187.5 B
8,Microsoft,$236.6 B,$86.2 B,$484.3 B,"$3,123.1 B"
9,Agricultural Bank of China,$193.5 B,$37.4 B,"$5,832.9 B",$170.9 B
10,Alphabet,$317.9 B,$82.4 B,$407.4 B,"$2,177.7 B"
11,Toyota Motor,$311.9 B,$34.2 B,$595.4 B,$274.9 B
12,Apple,$381.6 B,$100.4 B,$337.4 B,"$2,911.5 B"
13,Bank of China,$173.3 B,$32.1 B,"$4,657.1 B",$145.7 B
14,ExxonMobil,$331.9 B,$32.8 B,$377.9 B,$536.7 B
15,HSBC Holdings,$144.9 B,$22.2 B,"$3,000.5 B",$166.4 B
16,Wells Fargo,$120.1 B,$18.8 B,"$1,959.2 B",$212.9 B
17,Shell Plc,$289.7 B,$17.9 B,$402 B,$228.5 B
18,PetroChina,$399.1 B,$22.7 B,$388.1 B,$177.6 B
19,UnitedHealth Group,$379.5 B,$15.4 B,$284.2 B,$482.9 B
20,Walmart,$657.3 B,$18.9 B,$254.1 B,$521.1 B
21,Samsung Electronics,$202.4 B,$14.9 B,$349.8 B,$388 B
22,Chevron,$195 B,$20.3 B,$261.7 B,$299.8 B
23,Goldman Sachs Group,$116.7 B,$9.4 B,"$1,698.4 B",$150.8 B
24,Meta Platforms,$142.7 B,$45.8 B,$222.8 B,"$1,197 B"
25,TotalEnergies,$212.6 B,$21.5 B,$283.1 B,$171.2 B
26,Morgan Stanley,$99.8 B,$9.5 B,"$1,228.5 B",$162.9 B
27,RBC,$90.1 B,$11.3 B,"$1,477.8 B",$150.4 B
28,Citigroup,$163.9 B,$7.8 B,"$2,432.5 B",$122.2 B
29,Ping An Insurance Group,$136.1 B,$11.8 B,"$1,654.8 B",$105.5 B
30,China Mobile,$142.7 B,$18.7 B,$281 B,$204.1 B
31,Allianz,$148.2 B,$9.7 B,"$1,056.8 B",$113.8 B
32,BNP Paribas,$157.6 B,$11.1 B,"$2,862.7 B",$88.9 B
33,Verizon Communications,$134 B,$11.3 B,$380.2 B,$168.6 B
34,China Merchants Bank,$70.6 B,$20.3 B,"$1,594 B",$127.4 B
35,UBS,$81.3 B,$28.9 B,"$1,607.1 B",$97.4 B
36,Santander,$142.8 B,$12.3 B,"$1,944 B",$82.1 B
37,AT&T,$122.3 B,$13.6 B,$399.4 B,$124.8 B
38,Tencent Holdings,$86.2 B,$18.3 B,$227.8 B,$472.3 B
39,Mitsubishi UFJ Financial,$74 B,$10.3 B,"$2,667.4 B",$117.2 B
40,Comcast,$121.9 B,$15.4 B,$263.6 B,$154.1 B
41,Alibaba Group,$131.3 B,$11.2 B,$244.2 B,$200.8 B
42,Sinopec,$414.9 B,$8.5 B,$289.7 B,$106.8 B
43,Volkswagen Group,$348.6 B,$16.3 B,$672 B,$65.6 B
44,TD Bank Group,$80.2 B,$8.9 B,"$1,430.3 B",$101.5 B
45,Johnson & Johnson,$89.7 B,$17.5 B,$172 B,$372.2 B
45,Taiwan Semiconductor,$71.5 B,$27.3 B,$180.9 B,$672 B
47,BP,$202.8 B,$9.2 B,$275.4 B,$104.4 B
48,LVMH Moët Hennessy Louis Vuitton,$93.1 B,$16.4 B,$158.7 B,$423.9 B
49,Reliance Industries,$108.8 B,$8.4 B,$210.5 B,$233.1 B
50,Nestlé,$103.5 B,$12.5 B,$150.4 B,$272.1 B
51,AXA Group,$109.4 B,$7.6 B,$684 B,$81.6 B
52,Mercedes-Benz Group,$164.3 B,$14.4 B,$288.5 B,$77.1 B
53,American Express,$69.5 B,$8.9 B,$269.3 B,$174.7 B
54,Petrobras,$99.4 B,$22.3 B,$213.2 B,$92.6 B
55,State Bank of India,$71.8 B,$8.1 B,$807.4 B,$87.6 B
56,Bank of Communications,$78.8 B,$13.1 B,"$1,982.5 B",$59.2 B
57,Postal Savings Bank Of China (PSBC),$80.3 B,$11.3 B,"$2,259.7 B",$58.1 B
58,Tesla,$94.7 B,$13.7 B,$109.2 B,$566 B
59,Procter & Gamble,$84.1 B,$15.1 B,$119.6 B,$395.7 B
59,Stellantis,$204.9 B,$20.1 B,$223.3 B,$65 B
61,BMW Group,$168.3 B,$11.6 B,$274.7 B,$65.8 B
62,Deutsche Telekom,$121.5 B,$4.8 B,$318.8 B,$119.1 B
63,Sumitomo Mitsui Financial,$61.3 B,$6.7 B,"$1,950.8 B",$80.9 B
64,CVS Health,$361.3 B,$7.3 B,$249.7 B,$72.4 B
65,HDFC Bank,$49.3 B,$7.7 B,$483.2 B,$133.6 B
66,BBVA-Banco Bilbao Vizcaya,$75.2 B,$9 B,$865.8 B,$63.5 B
67,Sony,$90 B,$6.7 B,$225.4 B,$101.9 B
68,Siemens,$84.4 B,$8 B,$156.3 B,$148.2 B
69,Commonwealth Bank,$39 B,$6.5 B,$870.7 B,$135.4 B
70,Life Insurance Corp. of India,$98 B,$4.9 B,$561.4 B,$73.6 B
71,General Motors,$174.9 B,$10.7 B,$276.6 B,$52.2 B
71,Nippon Telegraph & Tel,$92.5 B,$8.8 B,$195.6 B,$82.1 B
73,Credit Agricole,$105.5 B,$6.4 B,"$2,418.5 B",$48.3 B
74,Broadcom,$38.9 B,$11.6 B,$177.9 B,$646.6 B
75,PepsiCo,$91.9 B,$9.2 B,$100 B,$250.5 B
76,The Home Depot,$151.8 B,$14.9 B,$79.2 B,$341.1 B
77,Oracle,$52.5 B,$10.6 B,$137.1 B,$339.4 B
78,Mitsubishi,$135.3 B,$6.7 B,$155 B,$88.9 B
79,Roche Holding,$65.3 B,$12.8 B,$107.5 B,$208.4 B
80,Equinor,$102.8 B,$9.6 B,$137.2 B,$82.9 B
81,Elevance Health,$171.7 B,$6.2 B,$111.9 B,$127.3 B
82,CNOOC,$57.4 B,$17.5 B,$141.8 B,$118.1 B
82,Industrial Bank,$58.9 B,$10.6 B,"$1,419.2 B",$50.9 B
84,Intesa Sanpaolo Assicura,$42.2 B,$9.1 B,"$1,006.1 B",$74.8 B
85,IBM,$62.1 B,$8.2 B,$137.2 B,$155.3 B
86,Chubb,$51.7 B,$9.3 B,$212.2 B,$111.4 B
86,Itaú Unibanco Holding,$67.8 B,$6.6 B,$525.2 B,$63.7 B
88,Anheuser-Busch InBev,$59.4 B,$5.3 B,$221 B,$138.1 B
89,AbbVie,$54.4 B,$6 B,$148.9 B,$293.9 B
90,Cisco Systems,$55.4 B,$12.1 B,$101.2 B,$195.1 B
91,Honda Motor,$141.3 B,$7.7 B,$196.7 B,$53.7 B
92,Bank of Nova Scotia,$53.6 B,$5.8 B,"$1,042.5 B",$59.2 B
93,Hyundai Motor,$125.4 B,$9 B,$219.8 B,$47.3 B
94,Enel,$96 B,$4.7 B,$209.8 B,$75.1 B
95,Cigna,$204.1 B,$3.6 B,$148.4 B,$96.2 B
96,Costco Wholesale,$248.8 B,$6.8 B,$66.3 B,$352.9 B
96,Munich Re,$70 B,$5 B,$298 B,$65.1 B
98,Zurich Insurance Group,$65.4 B,$4.4 B,$339.4 B,$74.9 B
99,Novartis,$48.7 B,$15.2 B,$94.3 B,$201.4 B
100,Coca-Cola,$46.1 B,$10.8 B,$99.4 B,$271.5 B
101,GE Aerospace,$69.5 B,$3.5 B,$163.9 B,$175 B
102,Caterpillar,$67 B,$11.2 B,$83.7 B,$174.2 B
103,John Deere,$58.6 B,$9.5 B,$105.6 B,$110.5 B
104,Bank of Montreal,$53.9 B,$4 B,$991.6 B,$69.1 B
105,Mizuho Financial,$55.1 B,$4.7 B,"$1,841.3 B",$51.1 B
106,AIRBUS,$72.1 B,$4.2 B,$132.6 B,$136.7 B
107,Intel,$55.2 B,$4.1 B,$192.7 B,$135.5 B
108,Mitsui,$92.1 B,$7.4 B,$111.7 B,$76.8 B
109,ConocoPhillips,$55.1 B,$10.6 B,$95.3 B,$142.3 B
110,China State Construction Engineering,$317.4 B,$7.6 B,$410.4 B,$33.3 B
110,NVIDIA,$60.9 B,$29.8 B,$65.7 B,"$2,312 B"
110,Rio Tinto,$54 B,$10.1 B,$103.5 B,$119.2 B
113,CITIC,$96.1 B,$8.1 B,"$1,597.7 B",$31.9 B
114,RTX,$71 B,$3.5 B,$160.2 B,$138.5 B
115,Glencore International,$218 B,$4.3 B,$123.9 B,$76.9 B
116,BHP Group,$55.3 B,$7.3 B,$100 B,$152.1 B
116,China Life Insurance,$51.6 B,$6.6 B,$818.1 B,$47.1 B
118,US Bancorp,$41.2 B,$5 B,$683.6 B,$64.7 B
119,Hon Hai Precision,$191.7 B,$4.8 B,$117.9 B,$73.1 B
120,Iberdrola,$50.5 B,$6.6 B,$164.1 B,$83.6 B
121,AstraZeneca,$47.6 B,$6.3 B,$102.3 B,$238.4 B
122,Sanofi,$46.6 B,$5.8 B,$139.7 B,$121.5 B
122,Unilever,$64.5 B,$7 B,$83.1 B,$216.8 B
124,Ford Motor,$177.5 B,$3.9 B,$274.3 B,$49 B
125,Capital One,$51 B,$5.1 B,$481.7 B,$54.2 B
125,NAB - National Australia Bank,$38.7 B,$4.6 B,$698.7 B,$71.5 B
127,Apollo Global Management,$34.7 B,$5.4 B,$334.1 B,$89.5 B
128,Visa,$34.1 B,$18.1 B,$92.4 B,$560.5 B
129,UniCredit,$26.5 B,$10.8 B,$875.4 B,$66.4 B
130,Contemporary Amperex Technology,$54.3 B,$6.2 B,$101.2 B,$123.3 B
131,American International Group,$49 B,$4.8 B,$475.6 B,$53.5 B
132,ANZ Group Holdings,$40.9 B,$4.6 B,$710.9 B,$56.5 B
133,VINCI,$75.3 B,$5.1 B,$131 B,$71.5 B
134,China Citic Bank,$54.1 B,$9.4 B,"$1,255 B",$34.7 B
135,Thermo Fisher Scientific,$42.5 B,$6 B,$97.1 B,$227.2 B
136,Charles Schwab,$25.6 B,$4.8 B,$468.8 B,$140 B
137,Progressive,$65 B,$5.8 B,$88.9 B,$122.5 B
138,DBS,$26.2 B,$7.5 B,$560.7 B,$75.3 B
138,Marathon Petroleum,$146.5 B,$7.9 B,$85.5 B,$63.3 B
140,PNC Financial Services,$32.4 B,$5.2 B,$566.2 B,$63.8 B
141,Generali Group,$74.7 B,$4 B,$555.3 B,$42 B
142,ICICI Bank,$28.5 B,$5.3 B,$283.5 B,$95.3 B
143,Itochu,$97 B,$5.5 B,$95.7 B,$67.2 B
144,Westpac Banking Group,$35.3 B,$4.3 B,$686.8 B,$62.1 B
145,United Parcel Service,$89.6 B,$5.9 B,$67.6 B,$127.7 B
146,Deutsche Bank,$68 B,$4.9 B,"$1,437.3 B",$33.6 B
147,Canadian Imperial Bank,$42.9 B,$4.7 B,$727.3 B,$46.3 B
148,China Shenhua Energy,$47.9 B,$8.6 B,$90.8 B,$91.3 B
149,Tokio Marine Holdings,$48 B,$4.4 B,$212.3 B,$61.8 B
150,NextEra Energy,$24 B,$7.5 B,$179.9 B,$156.3 B
